rid,用户名称,微博等级,微博内容,微博转发量,微博评论量,微博点赞,发布时间,搜索关键词,话题名称,话题讨论数,话题阅读数
91,开普勒星际,金v,祖国反黑站之前那些说外国月亮圆的人，说美国人权很好性别平等而贬斥自身所处的环境，那些人现在都怎么了？是哑了吗？咋不狠起来怼美国这种人权呢？#美国20余州预计将禁止或严格限制堕胎#环球资讯的微博视频,0,0,1,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
92,肥龙有鸡汤,金v,#美国20余州预计将禁止或严格限制堕胎#这个人权的国度，整成了这样？究竟是维护人权，还是无人权,0,0,2,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
93,火锅赤心,金v,#美国20余州预计将禁止或严格限制堕胎#呵呵呵，为了人口拼了，堕胎都没自由了。,0,0,1,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
94,澎湃新闻,蓝v,【美媒：#全美或有22州将禁止或限制堕胎# 】据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法律。南达科 ...全文,10,15,28,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
95,CHTV百姓健康,普通用户,什么才是真正的生命？我们将如何定义人类的“生命”？#美国最高法院取消宪法规定的堕胎权##拜登回应罗诉韦德案被推翻##拜登称推翻罗诉韦德案使美国倒退150年##美国女性至暗时刻来了##全美或有22州将禁止或限制堕胎# CHTV百姓健康的微博视频,0,0,2,2022/7/4,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
96,中国新闻周刊,蓝v,【#全美或有22州将禁止或限制堕胎#】据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法律。（央视新闻）,3,30,47,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
97,胡江波在北京,金v,#全美或有22州将禁止或限制堕胎# 据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法律。 via 央视新闻,20,16,44,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
98,钱奈儿,普通用户,#全美或有22州将禁止或限制堕胎#原来真的是“地球村”，外有限制堕胎，内有鼓励三胎，能不能让男的去生啊，烦死了！！！！！！！！！！！！！！！！！看黄网浏览记录要被查、床戏吻戏被删、小说写黄色情节被判刑......然后还要鼓励你去生三胎？？多多少少是回到人类进化前了。,0,0,1,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
99,是橙雨伞呀,金v,"美媒：#全美或有22州将禁止或限制堕胎#

“根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法律。”

来源：央视新闻",15,1,29,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
100,阿杰是个胖墩墩,普通用户,#全美或有22州将禁止或限制堕胎#才知道完全不限制女性堕胎的国家只有5个，无法想象连宫外孕都不允许堕胎的地方能尊重人权。,0,0,1,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
101,JAS_FLower,普通用户,#全美或有22州将禁止或限制堕胎#这样啊，美国好惨，唐山郑州的事解决了吗？毒教材呢？,0,0,1,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
102,新京报,蓝v,【#全美或有22州将禁止或限制堕胎# 】据央视新闻消息，据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法 ...全文,7,10,15,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
103,三栖龙王大人,普通用户,"#全美或有22州将禁止或限制堕胎#
此刻我的表情tui tui tui",0,0,0,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
104,参考消息,蓝v,"【美媒：#全美或有22州将禁止或限制堕胎#】据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法律。

南达 ...全文",12,6,13,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
105,财经网,蓝v,【美媒：#全美或有22州将禁止或限制堕胎#】据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法律。（央视 ...全文,6,5,11,2022/6/27,禁止堕胎,#全美或有22州将禁止或限制堕胎#,134讨论,222.4万阅读
106,中国新闻网,蓝v,【女性堕胎权不再受保护？#美最高法裁决推翻罗诉韦德案#】据美联社报道，当地时间24日，美国联邦最高法院发布裁决，正式推翻“罗诉韦德案”，结束宪法对堕胎权的保护。报道称，这一结果可能导致#美国约半数州或将禁止堕胎#。“罗诉韦德案”是1973年美国联邦最高法院对于女性堕胎权裁决的“里程碑”案例 ...全文,31,60,325,2022/6/24,禁止堕胎,#美国约半数州或将禁止堕胎#,53讨论,111.9万阅读
107,--小懒喵吖嘻--,普通用户,"#美国约半数州或将禁止堕胎# 堕胎完全是一种无法用禁令去消除的需求。
在美国堕胎非法化的年代里，书中记载每年堕胎数目大约为一百万宗，而其中仅有一万例是按照法律所规定的“基于医学或治疗原因”而受到法律豁免才得以在医院进行的。这就带来了一个极为可怕的后果，那就是大量女性的死亡。
据官方统 ...全文",0,0,0,2022/6/27,禁止堕胎,#美国约半数州或将禁止堕胎#,53讨论,111.9万阅读
108,天目新闻,蓝v,#美国约半数州或将禁止堕胎#【#美国最高法院取消宪法规定的堕胎权#】据美联社报道，当地时间24日，美国联邦最高法院发布裁决，正式推翻“罗诉韦德案”，结束宪法对堕胎权的保护。“罗诉韦德案”是1973年美国联邦最高法院对于女性堕胎权裁决的“里程碑”案例，最高法院裁定女性拥有堕胎的权利，该权利受 ...全文,6,4,78,2022/6/25,禁止堕胎,#美国约半数州或将禁止堕胎#,53讨论,111.9万阅读
109,滇海彩云子,黄v,#避孕套巨头过去两年销量下降40%##美国约半数州或将禁止堕胎# 哈哈，是不是新冠死人太多，鼓励生育？,1,2,0,2022/6/26,禁止堕胎,#美国约半数州或将禁止堕胎#,53讨论,111.9万阅读
110,永不放弃的大猫,普通用户,#美国约半数州或将禁止堕胎##美国约半数州或将禁止堕胎# 在这里科普一下，美国的禁止堕胎其中的产物包括乱l和qj的产物，还有即使胎儿畸形，宫外孕都不可以打掉。前两者不说了，本来就不应该有。后面两者么，这里的畸形包括各种缺陷，甚至可能生下来就没了的，那种疾病很多的，这种不说其他的，就生下来 ...全文,0,0,0,2022/6/25,禁止堕胎,#美国约半数州或将禁止堕胎#,53讨论,111.9万阅读
111,荷夏格艾蒂仙师,黄v,#美最高法裁决推翻罗诉韦德案# 颠覆三观了，女性自己的肚子无法自己做主#美国约半数州或将禁止堕胎#,0,0,4,2022/6/24,禁止堕胎,#美国约半数州或将禁止堕胎#,53讨论,111.9万阅读
113,凤凰周刊,蓝v,"【外媒：#密苏里州成为美国首个禁止堕胎州#】据法新社华盛顿报道，密苏里州当地时间24日成为美国第一个禁止堕胎的州。此前数几小时，美最高法院推翻了宪法赋予堕胎权的规定。#美国最高法院取消宪法规定的堕胎权#

报道称，密苏里州总检察长在推特上发布了一张自己签署禁令的照片，他说：“密苏里州刚刚 ...全文",17,84,179,2022/6/25,禁止堕胎,#密苏里州成为美国首个禁止堕胎州#,60讨论,165.8万阅读
114,凤凰网,蓝v,"【#密苏里州成为美国首个禁止堕胎州#】据法新社华盛顿报道，密苏里州当地时间24日成为美国第一个禁止堕胎的州。此前数几小时，美最高法院推翻了宪法赋予堕胎权的规定。
报道称，密苏里州总检察长在推特上发布了一张自己签署禁令的照片，他说：“密苏里州刚刚成为全国第一个有效终止堕胎的州，这是生命 ...全文",26,67,305,2022/6/25,禁止堕胎,#密苏里州成为美国首个禁止堕胎州#,60讨论,165.8万阅读
115,匿名吃瓜看热闹,普通用户,#密苏里州成为美国首个禁止堕胎州#女拳们怎么看？,0,0,0,2022/6/25,禁止堕胎,#密苏里州成为美国首个禁止堕胎州#,60讨论,165.8万阅读
117,Vista看天下,蓝v,"【#美国爱达荷州拟禁止一切堕胎#：没有任何例外】据美国《新闻周刊》7月18日报道，爱达荷州共和党大会上，代表们批准了对政党纲领的修改，将所有堕胎定为刑事犯罪。即使是在乱伦、强奸，或挽救孕妇生命等情况，都不允许堕胎。

爱达荷州共和党以412票对164票，否绝了当孕妇处于“致命危险”时允许例外 ...全文",1663,402,9410,2022/7/19,禁止堕胎,#美国爱达荷州拟禁止一切堕胎#,1773讨论,326.8万阅读
119,观察者网,蓝v,"【#美国已有9个州触发反堕胎法#，12个州或将跟进】#美高院推翻堕胎权后9州禁止堕胎# 禁止堕胎法律已经生效的9个州中，共计6个州实施严格反堕胎法，即使是强奸或乱伦导致妊娠也不可堕胎。

当地时间6月24日，美国最高法院推翻了“罗诉韦德案”的历史性判决；堕胎权被下放到各州。全美有13个州提前埋置了 ...全文",90,241,1138,2022/6/26,禁止堕胎,#美高院推翻堕胎权后9州禁止堕胎#,108讨论,98.8万阅读
120,仓鼠揍橘猫,普通用户,#美高院推翻堕胎权后9州禁止堕胎#别喊了，民主和人权已经在家反思了,0,0,0,2022/6/26,禁止堕胎,#美高院推翻堕胎权后9州禁止堕胎#,108讨论,98.8万阅读
121,今日俄罗斯RT,蓝v,"【#美国22州将禁止堕胎#】当地时间6月24日，美国最高法院裁决取消联邦政府保障的堕胎合法权。随后，路透社在美国地图上标注出准备禁止妇女堕胎的22州。

在南达科他州、路易斯安那州和肯塔基州，因为现在联邦层面无法保证堕胎权，堕胎权将被自动取消。违反者将被处以最高10万美元的罚款和最高10年的监 ...全文",102,242,1234,2022/6/26,禁止堕胎,#美国22州将禁止堕胎#,108讨论,102.1万阅读
122,知心琥珀,普通用户,"#美国22州将禁止堕胎#

美国真是肉眼可见的在走下坡路啊！
期待2044年中国彻底崛起！",0,4,6,2022/6/27,禁止堕胎,#美国22州将禁止堕胎#,108讨论,102.1万阅读
123,凤凰周刊,蓝v,【#美国得州禁止怀孕6周以上女性堕胎#】据businessinsider报道，当地时间19日，美国得克萨斯州州长阿伯特签署了该州史上最严苛的堕胎法案，该法案禁止怀孕六周以上的女性堕胎，强奸或乱伦也不例外。有一个例外是，允许在医疗紧急情况下进行堕胎。该法案还允许得州公民允许几乎任何民众起诉堕胎诊所和相 ...全文,17,57,189,2021/5/20,禁止堕胎,#美国得州禁止怀孕6周以上女性堕胎#,147讨论,104万阅读
124,露水不豆,微博达人,#美国得州禁止怀孕6周以上女性堕胎# 活久见，米国肉眼可见的倒退，有生之年竟能经历世界前两位对本国女性的剥削。对于国家发展（繁殖），建立在剥夺个人意志和自主选择权的基础上，万恶之首。,0,2,1,2021/10/5,禁止堕胎,#美国得州禁止怀孕6周以上女性堕胎#,147讨论,104万阅读
125,央视网青年,蓝v,【#美13个州已启动禁止堕胎法律流程#】截至25日，美国阿肯色州、爱达荷州、肯塔基州等13个州已经根据裁决开始禁止堕胎法律的启动流程。而在其中一些州，禁止堕胎法律会立即生效；在其他州，禁止堕胎法律将在一段时间后或通过州官员签字生效。小央视频的微博视频,1,1,2,2022/6/27,禁止堕胎,#美13个州已启动禁止堕胎法律流程#,11讨论,9.9万阅读
126,央视网科技,蓝v,#科科喊你早起#【#美13个州已启动禁止堕胎法律流程#】截至25日，美国阿肯色州、爱达荷州、肯塔基州等13个州已经根据裁决开始禁止堕胎法律的启动流程。而在其中一些州，禁止堕胎法律会立即生效；在其他州，禁止堕胎法律将在一段时间后或通过州官员签字生效。小央视频的微博视频,1,3,1,2022/6/27,禁止堕胎,#美13个州已启动禁止堕胎法律流程#,11讨论,9.9万阅读
127,笑着寻梦,黄v,#美13个州已启动禁止堕胎法律流程#截至25日，美国阿肯色州、爱达荷州、肯塔基州等13个州已经根据裁决开始禁止堕胎法律的启动流程。而在其中一些州，禁止堕胎法律会立即生效；在其他州，禁止堕胎法律将在一段时间后或通过州官员签字生效…资本主义国家就是直接了当，事实上很多国家都想这样干么？,0,0,0,2022/6/26,禁止堕胎,#美13个州已启动禁止堕胎法律流程#,11讨论,9.9万阅读
128,云南峨山,蓝v,【#美13个州已启动禁止堕胎法律流程#】截至25日，美国阿肯色州、爱达荷州、肯塔基州等13个州已经根据裁决开始禁止堕胎法律的启动流程。而在其中一些州，禁止堕胎法律会立即生效；在其他州，禁止堕胎法律将在一段时间后或通过州官员签字生效。@小央视频 小央视频的微博视频,0,0,0,2022/6/26,禁止堕胎,#美13个州已启动禁止堕胎法律流程#,11讨论,9.9万阅读
129,新浪科技,蓝v,#科技公司会成美国禁止堕胎的帮凶吗#？【美国堕胎权被废止 科技公司是“帮凶”？】6月底，美国最高法院推翻了“罗诉韦德案”（Roe v. Wade），堕胎权将不再合法。一石激起千层浪，手握大量个人信息数据的科技巨头也质疑是否为成为提供证据的“帮凶”。虽有员工不满，但科技公司总体上还是选择回避，比 ...全文,1,5,5,2022/7/2,禁止堕胎,#科技公司会成美国禁止堕胎的帮凶吗#,4讨论,18.1万阅读
130,每日经济新闻,蓝v,#美约半数州或将禁止堕胎# 【美国最高法院推翻罗诉韦德案裁决】#美国堕胎合法化被推翻# 据央视新闻报道，当地时间6月24日，美国最高法院推翻了“罗诉韦德案”裁决。这项裁决曾在1973年实现了美国堕胎合法化。最高法院的这项最新裁决将赋予各州制定堕胎法的权力，预计几乎一半的州将宣布堕胎为非法或严 ...全文,20,6,12,2022/6/24,禁止堕胎,#美约半数州或将禁止堕胎#,30讨论,39.4万阅读
131,直新闻,蓝v,"【#美国俄克拉荷马州禁止堕胎法案生效# 】当地时间5月25日，美国俄克拉荷马州禁止堕胎法案获州长凯文·斯蒂特签字生效，该州成为#美国第一个实际禁止堕胎的州# 。

根据该法律，只有为了拯救孕妇生命，或者怀孕是由强奸或乱伦导致并已向执法部门报备的情况下，才可以执行堕胎手术，违者将面临民事诉讼。 ...全文",2,0,0,2022/5/26,禁止堕胎,#美国第一个实际禁止堕胎的州#,5讨论,2.8万阅读
132,ETtoday新聞雲,蓝v,"【受精后不得堕胎！　俄克拉荷马州全美最严禁令上路】网页链接
#美国# 俄克拉荷马州州长Kevin Stitt 25日签署一项堕胎禁令，禁止「受精」阶段后几乎所有堕胎行为，除非发生医疗紧急状况或因性侵、乱伦而怀孕，并赋予一般公民向帮助堕胎者提告的权利，成为全美最严格的反堕胎法之一。法案立 ...全文",1,6,5,2022/5/26,禁止堕胎,#美国第一个实际禁止堕胎的州#,5讨论,2.8万阅读
134,中新经纬,蓝v,"【#美媒称全美或有22州将禁止或限制堕胎#】据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特区制定了保护堕胎权的法律。
...全文",3,7,7,2022/6/27,禁止堕胎,#美媒称全美或有22州将禁止或限制堕胎#,5讨论,14.6万阅读
135,新闻晨报,蓝v,"【“罗诉韦德案”被推翻，#美国女性地位倒退50年#？】#美国近一半州预计会禁止堕胎# 当地时间6月24日，美国最高法院裁决推翻“罗诉韦德案”，将堕胎权的合法性问题留给各州应对。自此，美国女性的生育自主权将遭到极大挑战。#美国最高法院取消宪法规定的堕胎权#

1973年对“罗诉韦德案”的判决，奠定了 ...全文",2,5,11,2022/6/25,禁止堕胎,#美国近一半州预计会禁止堕胎#,3讨论,11.5万阅读
136,新闻晨报,蓝v,"【#美国跨州堕胎人数或激增# ，#美国11个州禁止或限制堕胎#】#美俄亥俄州一名10岁女孩被拒绝堕胎# 在美国最高法院6月24日推翻了“罗诉韦德案”的历史性判决后，堕胎权被下放到了各州。全美有13个州提前设置了“触发法”（trigger laws），即一旦“罗诉韦德案”被推翻，将禁止堕胎权。

《纽约时报》当 ...全文",2,0,5,2022/7/3,禁止堕胎,#美国11个州禁止或限制堕胎#,4讨论,13.1万阅读
137,直新闻,蓝v,#全美共有22个州将禁止或限制堕胎#【美媒：#全美或有22州将禁止或限制堕胎#】据《国会山报》当地时间6月26日报道，在美国最高法院投票决定推翻“罗诉韦德案”之后，各州开始根据这一裁决制定或实施相关州内部政策。根据古特马赫学会的一项分析，全美共有22个州将禁止或限制堕胎，另有16个州和华盛顿特 ...全文,0,1,1,2022/6/27,禁止堕胎,#全美共有22个州将禁止或限制堕胎#,1讨论,1.7万阅读
138,观察者网,蓝v,"【实施刚满1个月，#得州最严堕胎法被临时禁止#】
自美国得州开始实施“最严堕胎法”后，拜登政府就一直试图通过司法途径将之推翻。如今，这项努力已经取得初步进展。

据美国广播公司（ABC）报道，当地时间10月6日，美国得州西区联邦地区法院作出裁判，批准联邦政府对得州堕胎法申请的“临时禁令”，同 ...全文",16,46,251,2021/10/7,禁止堕胎,#得州最严堕胎法被临时禁止#,21讨论,40万阅读
139,中国日报,蓝v,【美国一州通过法案#禁止性侵受害者堕胎#，遭部分民众抗议】5月14日，美国阿拉巴马州议会通过#美国最严反堕胎法案#，禁止任何阶段的怀孕者堕胎，被性侵怀孕、乱伦怀孕者也不例外，当且仅当需要挽救孕妇生命时，堕胎才能得到许可。目前法案已提交给州长，州长同意后，法案将于六个月后正式生效。 ...全文,58,144,108,2019/5/16,禁止堕胎,#禁止性侵受害者堕胎#,,
141,重庆江津法院,蓝v,#津法君播报# 【美国一州通过法案#禁止性侵受害者堕胎#，遭部分民众抗议】5月14日，美国阿拉巴马州议会通过#美国最严反堕胎法案#，禁止任何阶段的怀孕者堕胎，被性侵怀孕、乱伦怀孕者也不例外，当且仅当需要挽救孕妇生命时，堕胎才能得到许可。目前法案已提交给州长，州长同意后，法案将于六个月后正式 ...全文,0,12,5,2019/5/16,禁止堕胎,#禁止性侵受害者堕胎#,130讨论,94.1万阅读
142,镇雄检察院,蓝v,【美国一州通过法案#禁止性侵受害者堕胎#，遭部分民众抗议】5月14日，美国阿拉巴马州议会通过#美国最严反堕胎法案#，禁止任何阶段的怀孕者堕胎，被性侵怀孕、乱伦怀孕者也不例外，当且仅当需要挽救孕妇生命时，堕胎才能得到许可。目前法案已提交给州长，州长同意后，法案将于六个月后正式生效。@世面 ...全文,0,2,1,2019/5/16,禁止堕胎,#禁止性侵受害者堕胎#,130讨论,94.1万阅读
143,法治日报,蓝v,#域外传真#【美国一州通过法案#禁止性侵受害者堕胎#，遭部分民众抗议】5月14日，美国阿拉巴马州议会通过#美国最严反堕胎法案#，禁止任何阶段的怀孕者堕胎，被性侵怀孕、乱伦怀孕者也不例外，当且仅当需要挽救孕妇生命时，堕胎才能得到许可。目前法案已提交给州长，州长同意后，法案将于六个月后正式生 ...全文,26,44,9,2019/5/16,禁止堕胎,#禁止性侵受害者堕胎#,130讨论,94.1万阅读
